jid,desc,title,date,journal,data_cleaned,eissn,jid_umum
1,"Belakangan ini Lembaga PAUD berbondong-bondong memberikan pembelajaran bahasa inggris bagi anak diperiode linguistik. Penelitian ini bertujuan untuk mengetahui kemampuan awal anak dalam mendengarkan dan mengucapkan kosakata bahasa inggris pada periode linguistic. Penelitian ini merupakan penelitian deskriptif dengan menggunakan pendekatan kuantitatif. Populasi penelitian ini mencakup anak pada Taman Kanak-Kanak. Selanjutnya peneliti melakukan penarikan sampling dengan teknik sampling jenuh dengan jumlah 28 Anak. Penelitian ini dilakukan pada bulan September 2022 - Maret 2023 dengan bekerjasama dengan guru kelas. Kegiatan pengumpulan data penelitian ini dilakukan melalui observasi, dengan model partisipatif. Adapun deskripsi hasil penelitian ini dibagi menjadi dua yakni kemampuan mendengarkan kosakata bahasa inggris awal yakni dengan kategori Mulai Berkembang. Selanjutnya, kemampuan mengucapkan kosakata bahasa inggris awal berada pada kategori Mulai Berkembang. Lebih lanjut hasil penelitian ini dapat dijadikan sebagai pijakan dasar menentukan strategi apa yang akan dilakukan untuk melejitkan kemampuan awal bahasa inggris anak dalam periode linguistik",Kemampuan Bahasa Inggris Awal pada Periode Linguistik Anak Usia Dini,2023-10-05,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,kemampuan bahasa inggris awal pada periode linguistik anak usia dini belakangan ini lembaga paud berbondongbondong memberikan pembelajaran bahasa inggris bagi anak diperiode linguistik penelitian ini bertujuan untuk mengetahui kemampuan awal anak dalam mendengarkan dan mengucapkan kosakata bahasa inggris pada periode linguistic penelitian ini merupakan penelitian deskriptif dengan menggunakan pendekatan kuantitatif populasi penelitian ini mencakup anak pada taman kanakkanak selanjutnya peneliti melakukan penarikan sampling dengan teknik sampling jenuh dengan jumlah  anak penelitian ini dilakukan pada bulan september   maret  dengan bekerjasama dengan guru kelas kegiatan pengumpulan data penelitian ini dilakukan melalui observasi dengan model partisipatif adapun deskripsi hasil penelitian ini dibagi menjadi dua yakni kemampuan mendengarkan kosakata bahasa inggris awal yakni dengan kategori mulai berkembang selanjutnya kemampuan mengucapkan kosakata bahasa inggris awal berada pada kategori mulai berkembang lebih lanjut hasil penelitian ini dapat dijadikan sebagai pijakan dasar menentukan strategi apa yang akan dilakukan untuk melejitkan kemampuan awal bahasa inggris anak dalam periode linguistik,25498959,1
1,"The assessment process carried out in schools is traditional assessments that focus on cognitive, affective, and psychomotor aspects. The review should be able to assess all factors, namely attitudes, skills, and knowledge. This paper aims to describe authentic assessment in early childhood learning. The results of this study are a description of the original as a process of evaluating early childhood learning outcomes. This research was conducted at RA Alhanafiyah, located in the sub-district of Kotaanyar Probolinggo. The research technique uses qualitative methods by collecting data through observation, interviews, and documentation. Interviews were conducted on elements in the school, starting with the principal, four educators, and two guardians. The results showed that the authentic assessment was carried out in three stages: first, checklist, anecdotal evaluation, and evaluation of the work. The implications obtained from accurate estimates are applied to institutions that provide increased achievement in different categories such as achievements in cognitive, motor, language, religious and moral values, art, and social-emotional by looking at children's unique abilities.",Strengthening Early Childhood Learning Outcomes through Authentic Assessment of Students,2022-06-09,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,strengthening early childhood learning outcomes through authentic assessment of students the assessment process carried out in schools is traditional assessments that focus on cognitive affective and psychomotor aspects the review should be able to assess all factors namely attitudes skills and knowledge this paper aims to describe authentic assessment in early childhood learning the results of this study are a description of the original as a process of evaluating early childhood learning outcomes this research was conducted at ra alhanafiyah located in the subdistrict of kotaanyar probolinggo the research technique uses qualitative methods by collecting data through observation interviews and documentation interviews were conducted on elements in the school starting with the principal four educators and two guardians the results showed that the authentic assessment was carried out in three stages first checklist anecdotal evaluation and evaluation of the work the implications obtained from accurate estimates are applied to institutions that provide increased achievement in different categories such as achievements in cognitive motor language religious and moral values art and socialemotional by looking at childrens unique abilities,25498959,1
1,"Kewajiban guru PAUD untuk memberikan layanan bimbingan dan konseling (BK) belum berjalan sebagaimana yang ditegaskan dalam Permendiknas Nomor 35 Tahun 2010. Tujuan penelitian adalah untuk mendeskripsikan realitas, kendala dan harapan guru tersebut terhadap layanan BK. Untuk mencapai tujuan ini, disain deksriptif dengan metode survey digunakan. Populasi penelitian adalah guru PAUD berjumlah 33 orang yang yang ditetapkan dengan teknik total sampling. Data dikumpulkan melalui angket dengan menggunakan aplikasi Google Form kemudian dianalisis secara deskriptif kuantitatif. Dari hasil penelitian diperoleh gambaran bahwa responden menyatakan: 1) siswa PAUD mengalami masalah yang membutuhkan penanganan khusus, 2) telah melaksanakan layanan BK, 3)  terkendala dengan kurangnya pengetahuan tentang layanan BK, sarana dan prasarana penunjang, keterampilan dalam menyusun studi kebutuhan, mengolah hasil dari instrumen, dan melaksanakan layanan BK, dan 4) mengharapkan peningkatan wawasan tentang BK, pelatihan terkait dengan pelaksanaan layanan BK, keterampilan dalam menyusun instrumen studi kebutuhan dan penyusunan program layanan BK.","Eksplorasi Deskriptif tentang Layanan Bimbingan dan Konseling di PAUD: Realitas, Kendala dan Harapan",2023-06-07,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,eksplorasi deskriptif tentang layanan bimbingan dan konseling di paud realitas kendala dan harapan kewajiban guru paud untuk memberikan layanan bimbingan dan konseling bk belum berjalan sebagaimana yang ditegaskan dalam permendiknas nomor  tahun  tujuan penelitian adalah untuk mendeskripsikan realitas kendala dan harapan guru tersebut terhadap layanan bk untuk mencapai tujuan ini disain deksriptif dengan metode survey digunakan populasi penelitian adalah guru paud berjumlah  orang yang yang ditetapkan dengan teknik total sampling data dikumpulkan melalui angket dengan menggunakan aplikasi google form kemudian dianalisis secara deskriptif kuantitatif dari hasil penelitian diperoleh gambaran bahwa responden menyatakan  siswa paud mengalami masalah yang membutuhkan penanganan khusus  telah melaksanakan layanan bk  terkendala dengan kurangnya pengetahuan tentang layanan bk sarana dan prasarana penunjang keterampilan dalam menyusun studi kebutuhan mengolah hasil dari instrumen dan melaksanakan layanan bk dan  mengharapkan peningkatan wawasan tentang bk pelatihan terkait dengan pelaksanaan layanan bk keterampilan dalam menyusun instrumen studi kebutuhan dan penyusunan program layanan bk,25498959,1
1,"Pandemi Covid-19 merambah sejak awal tahun 2020, salah satunya memberikan dampak pada aspek pendidikan. Hal ini menyebabkan orang tua merasa khawatir dengan kemampuan anak-anaknya dalam mengikuti pelajaran dari sekolah, terutama dalam hal persiapan anak masuk ke jenjang Sekolah Dasar (SD). Sekolah akhirnya memutuskan untuk mengadakan les calistung. Penelitian ini bertujuan untuk mendeskripsikan mengenai perspektif orang tua terhadap pelaksanaan les calistung di masa pandemi covid-19 di TK Setia Rini Jetis Bantul Yogyakarta. Jenis penelitian ini adalah deskriptif kualitatif. Metode yang digunakan adalah studi kasus. Pengumpulan data dilaksanakan dengan wawancara mendalam dengan 10 orang tua siswa, observasi, dan dokumentasi. Hasil penelitian ini adalah orang tua setuju dan merasa senang karena guru dalam memberikan les calistung dengan situasi yang menyenangkan kepada anak sehingga anak juga merasa senang. Pencapaian perkembangan anak dalam calistung sejumlah 7 anak sudah mampu membaca, menulis dan berhitung sesuai dengan usianya. Guru juga memberikan pemahaman kepada orang tua tentang cara mengajarkan calistung yang sesuai dengan perkembangan usia anak untuk diterapkan orang tua di rumah",Perspektif Orang Tua terhadap Pelaksanaan Les Calistung di Masa Pandemi Covid-19,2021-06-02,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,perspektif orang tua terhadap pelaksanaan les calistung di masa pandemi covid pandemi covid merambah sejak awal tahun  salah satunya memberikan dampak pada aspek pendidikan hal ini menyebabkan orang tua merasa khawatir dengan kemampuan anakanaknya dalam mengikuti pelajaran dari sekolah terutama dalam hal persiapan anak masuk ke jenjang sekolah dasar sd sekolah akhirnya memutuskan untuk mengadakan les calistung penelitian ini bertujuan untuk mendeskripsikan mengenai perspektif orang tua terhadap pelaksanaan les calistung di masa pandemi covid di tk setia rini jetis bantul yogyakarta jenis penelitian ini adalah deskriptif kualitatif metode yang digunakan adalah studi kasus pengumpulan data dilaksanakan dengan wawancara mendalam dengan  orang tua siswa observasi dan dokumentasi hasil penelitian ini adalah orang tua setuju dan merasa senang karena guru dalam memberikan les calistung dengan situasi yang menyenangkan kepada anak sehingga anak juga merasa senang pencapaian perkembangan anak dalam calistung sejumlah  anak sudah mampu membaca menulis dan berhitung sesuai dengan usianya guru juga memberikan pemahaman kepada orang tua tentang cara mengajarkan calistung yang sesuai dengan perkembangan usia anak untuk diterapkan orang tua di rumah,25498959,1
1,"Dalam upaya mencapai Sustainable Development Goals (SDGs) 2030, stunting masih menjadi masalah mendasar di Indonesia hingga saat ini. Hingga tahun 2022, kasus stunting pada anak masih cukup tinggi melampaui standart WHO. Penelitian ini bertujuan untuk menguji efektivitas pelatihan dalam meningkatkan pengetahuan dan keterampilan 150 guru PAUD agar dapat mengidentifikasi, mencegah dan menangani stunting. Metode kualitatif dan kuantitatif digunakan pada penelitian ini dengan desain pre-eksperimental. Teknik pengumpulan data yang dilakukan adalah kuesioner berupa pre-test dan post-test serta wawancara dengan Teknik analisis data tematik. Hasilnya, pelatihan ini efektif meningkatkan pengetahuan dan keterampilan guru dalam melakukan identifikasi, mengenali factor penyebab, pencegahan dan penanganan stunting. Selain itu juga terdapat pengaruh pelatihan terhadap peningkatan pengetahuan dan keterampilan guru PAUD terkait stunting pada anak. Rekomendasi selanjutnya agar pelatihan stunting ini diperluas sasarannya kepada lebih banyak guru PAUD, sehingga kemampuan dalam pencegahan dan penanganan stunting dapat dimiliki guru PAUD sekaligus membantu mempercepat penurunan kasus stunting (konvergensi stunting) di Indonesia.",Strategi Pencegahan dan Penanganan Stunting Multidimensi melalui Pelatihan Guru PAUD,2023-12-26,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,strategi pencegahan dan penanganan stunting multidimensi melalui pelatihan guru paud dalam upaya mencapai sustainable development goals sdgs stunting masih menjadi masalah mendasar di indonesia hingga saat ini hingga tahun  kasus stunting pada anak masih cukup tinggi melampaui standart who penelitian ini bertujuan untuk menguji efektivitas pelatihan dalam meningkatkan pengetahuan dan keterampilan  guru paud agar dapat mengidentifikasi mencegah dan menangani stunting metode kualitatif dan kuantitatif digunakan pada penelitian ini dengan desain preeksperimental teknik pengumpulan data yang dilakukan adalah kuesioner berupa pretest dan posttest serta wawancara dengan teknik analisis data tematik hasilnya pelatihan ini efektif meningkatkan pengetahuan dan keterampilan guru dalam melakukan identifikasi mengenali factor penyebab pencegahan dan penanganan stunting selain itu juga terdapat pengaruh pelatihan terhadap peningkatan pengetahuan dan keterampilan guru paud terkait stunting pada anak rekomendasi selanjutnya agar pelatihan stunting ini diperluas sasarannya kepada lebih banyak guru paud sehingga kemampuan dalam pencegahan dan penanganan stunting dapat dimiliki guru paud sekaligus membantu mempercepat penurunan kasus stunting konvergensi stunting di indonesia,25498959,1
1,"Semakin baru sebuah zaman maka akan semakin banyak tantangan dalam kehidupan sehingga menyebabkan anak harus dikenalkan berbagai kompetensi baru. Salah satu kemampuan yang dibutuhkan anak di era saat ini adalah kemampuan berpikir kritis dan pemecahan masalah. Pembelajaran tematik integratif memadukan dan mengintegrasikan beberapa aspek perkembangan dalam satu tema dengan tujuan memberikan pengalaman yang bermakna untuk anak. Akan tetapi kendala dalam implementasi tematik integratif masih ditemui di lapangan. Oleh karena itu, artikel ini bertujuan untuk memberikan gambaran mengenai strategi penyusunan kurikulum dengan pembelajaran tematik integratif di satuan PAUD. Pendekatan penelitian yang digunakan adalah kajian literature. Tujuh literature di analisis menggunakan pendekatan tematik. Hasil penelitian menunjukkan bahwa strategi penyusunan pembelajaran tema dilakukan dengan memperhatikan strategi pengembangan dan pemilihan tema, prinsip pemilihan tema, dan kegiatan dalam penjabaran tema. Implikasi hasil penelitian ini dapat digunakan sebagai referensi bagi guru ketika akan menentukan tema pembelajaran dan penyusunan kurikulum.",Strategi Pendekatan Kurikulum Pendidikan Anak Usia Dini dengan Pembelajaran Tematik Integratif,2023-02-08,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,strategi pendekatan kurikulum pendidikan anak usia dini dengan pembelajaran tematik integratif semakin baru sebuah zaman maka akan semakin banyak tantangan dalam kehidupan sehingga menyebabkan anak harus dikenalkan berbagai kompetensi baru salah satu kemampuan yang dibutuhkan anak di era saat ini adalah kemampuan berpikir kritis dan pemecahan masalah pembelajaran tematik integratif memadukan dan mengintegrasikan beberapa aspek perkembangan dalam satu tema dengan tujuan memberikan pengalaman yang bermakna untuk anak akan tetapi kendala dalam implementasi tematik integratif masih ditemui di lapangan oleh karena itu artikel ini bertujuan untuk memberikan gambaran mengenai strategi penyusunan kurikulum dengan pembelajaran tematik integratif di satuan paud pendekatan penelitian yang digunakan adalah kajian literature tujuh literature di analisis menggunakan pendekatan tematik hasil penelitian menunjukkan bahwa strategi penyusunan pembelajaran tema dilakukan dengan memperhatikan strategi pengembangan dan pemilihan tema prinsip pemilihan tema dan kegiatan dalam penjabaran tema implikasi hasil penelitian ini dapat digunakan sebagai referensi bagi guru ketika akan menentukan tema pembelajaran dan penyusunan kurikulum,25498959,1
1,"Salah satu kompetensi yang harus dimiliki Guru adalah kompetensi pedagogik. Selain pedagogik, guru juga diharuskan memiliki kreativitas, karena dapat mempengaruhi kompetensi pedagogik. Model pembelajaran sentra yang berpusat pada anak dan guru sebagai fasilitator berbantuan media Looseparts, yaitu Bahan alam, plastic, logam, kayu dan bambu, benang dan kain, kaca dan keramik dan bekas kemasan, dapat merangsang kreativitas guru. Tujuan penelitian ini, untuk mengetahui perbedaan efektifitas penggunaan media Looseparts dalam meningkatkan kreativitas dan kompetensi pedagogik Guru. Penelitian ini merupakan penelitian eksperimen dengan pretest dan posttest control group design. Populasi dalam penelitian ini adalah Guru TK B Kecamatan Ngaliyan Kota Semarang dengan sampel 51 guru sebagai responden yang terbagi dalam dua kelompok dan dipilih melalui random sampling. Hasil penelitian menunjukkan, terdapat adanya peningkatan kreativitas dan kompetensi pedagogik menggunakan media Looseparts sesuai threatment yang dilakukan dengan rerata skor 83,04 kelompok pertama, dan 79,12 perlakuan kelompok kedua. Berdasarkan hal tersebut, diketahui bahwasanya model pembelajaran sentra berbantuan media Looseparts efektif digunakan untuk meningkatkan kreativitas dan kompetensi pedagogik Guru TK",Pembelajaran Sentra Media Looseparts Meningkatkan Kreativitas dan Kompetensi Pedagogik Guru TK,2022-06-10,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,pembelajaran sentra media looseparts meningkatkan kreativitas dan kompetensi pedagogik guru tk salah satu kompetensi yang harus dimiliki guru adalah kompetensi pedagogik selain pedagogik guru juga diharuskan memiliki kreativitas karena dapat mempengaruhi kompetensi pedagogik model pembelajaran sentra yang berpusat pada anak dan guru sebagai fasilitator berbantuan media looseparts yaitu bahan alam plastic logam kayu dan bambu benang dan kain kaca dan keramik dan bekas kemasan dapat merangsang kreativitas guru tujuan penelitian ini untuk mengetahui perbedaan efektifitas penggunaan media looseparts dalam meningkatkan kreativitas dan kompetensi pedagogik guru penelitian ini merupakan penelitian eksperimen dengan pretest dan posttest control group design populasi dalam penelitian ini adalah guru tk b kecamatan ngaliyan kota semarang dengan sampel  guru sebagai responden yang terbagi dalam dua kelompok dan dipilih melalui random sampling hasil penelitian menunjukkan terdapat adanya peningkatan kreativitas dan kompetensi pedagogik menggunakan media looseparts sesuai threatment yang dilakukan dengan rerata skor  kelompok pertama dan  perlakuan kelompok kedua berdasarkan hal tersebut diketahui bahwasanya model pembelajaran sentra berbantuan media looseparts efektif digunakan untuk meningkatkan kreativitas dan kompetensi pedagogik guru tk,25498959,1
1,"Guncangan dahsyat Covid 19, telah menginfeksi setidaknya 6 juta orang di dunia dan hampir 400.000 orang diantaranya meninggal dunia. Akibatnya kehidupan manusia di berbagai sektor terguncang hebat, termasuk sektor pendidikan. Pembelajaran daring disemua jenjang pendidikan tak terkecuali PAUD, adalah solusi terbaik saat ini. Kepala sekolah perlu melakukan langkah strategis agar proses pendidikan PAUD tetap berjalan dan kualitas tetap terjaga. Tujuan penelitian ini adalah mendeksripsikan bagaimana strategi kepala sekolah dalam meningkatkan mutu pendidikan taman kanak-kanak pada masa pandemi Covid 19 di Kota Cimahi. Penelitian ini menggunakan pendekatan kuantitatif dengan metode deskriptif survei. Subjek penelitian adalah 112 Kepala TK di Kota Cimahi. Hasil penelitian menunjukan, strategi kepemimpinan kepala sekolah dalam meningkatkan mutu pendidikan TK pada masa pandemi Covid 19 sangat baik (85,90%). Process Approach (88,24%) merupakan skor teringgi, menunjukan pendekatan proses menjadi prioritas utama dilakukan. Sedangkan tanggung jawab (81,21%) merupakan skor terendah, menunjukan belum optimalnnya pelaksanaan kepemimpinan kepala sekolah masa pandemi covid 19.",Strategi Kepala TK dalam Meningkatkan Mutu Pendidikan pada Masa Pandemi Covid 19,2020-07-11,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,strategi kepala tk dalam meningkatkan mutu pendidikan pada masa pandemi covid  guncangan dahsyat covid  telah menginfeksi setidaknya  juta orang di dunia dan hampir   orang diantaranya meninggal dunia akibatnya kehidupan manusia di berbagai sektor terguncang hebat termasuk sektor pendidikan pembelajaran daring disemua jenjang pendidikan tak terkecuali paud adalah solusi terbaik saat ini kepala sekolah perlu melakukan langkah strategis agar proses pendidikan paud tetap berjalan dan kualitas tetap terjaga tujuan penelitian ini adalah mendeksripsikan bagaimana strategi kepala sekolah dalam meningkatkan mutu pendidikan taman kanakkanak pada masa pandemi covid  di kota cimahi penelitian ini menggunakan pendekatan kuantitatif dengan metode deskriptif survei subjek penelitian adalah  kepala tk di kota cimahi hasil penelitian menunjukan strategi kepemimpinan kepala sekolah dalam meningkatkan mutu pendidikan tk pada masa pandemi covid  sangat baik  process approach  merupakan skor teringgi menunjukan pendekatan proses menjadi prioritas utama dilakukan sedangkan tanggung jawab  merupakan skor terendah menunjukan belum optimalnnya pelaksanaan kepemimpinan kepala sekolah masa pandemi covid ,25498959,1
1,"In Indonesia, unfortunate children facing dire circumstances, including victims of war, forced labor, child abuse, and human trafficking, are prevalent. Among them, street kids endure rapid growth due to various factors, living in abusive environments and spending approximately eight hours daily wandering the streets. This study aimed to explore the uniqueness of street children near the tombs of Islamic saints (Wali), where they descend to interact with pilgrims during religious events, seeking alms. Employing a phenomenological approach. Data Collection was by interview, field observation together with ethnographic techniques on street children’s motivations for begging and their communication behaviors in capturing pilgrims’ attention. Findings revealed that economic reasons and peer influence were primary motives for the children’s street presence. Additionally, sacred events like Muludan, Malam Pelal, Syawalan, Serenan, Sedekah Bumi/Nadran, and Kliwonan marked peak times for their begging activities, associated with poverty and ritualistic behaviors. Understanding street children’s communication behaviors and dynamics in this cultural context offers valuable insights for social interventions and support.",The Behavior of Street Children within a  Cultural Context: A Study on the Communication Life of Street Children within a Typical Indonesian Society,2023-09-03,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,the behavior of street children within a  cultural context a study on the communication life of street children within a typical indonesian society in indonesia unfortunate children facing dire circumstances including victims of war forced labor child abuse and human trafficking are prevalent among them street kids endure rapid growth due to various factors living in abusive environments and spending approximately eight hours daily wandering the streets this study aimed to explore the uniqueness of street children near the tombs of islamic saints wali where they descend to interact with pilgrims during religious events seeking alms employing a phenomenological approach data collection was by interview field observation together with ethnographic techniques on street childrens motivations for begging and their communication behaviors in capturing pilgrims attention findings revealed that economic reasons and peer influence were primary motives for the childrens street presence additionally sacred events like muludan malam pelal syawalan serenan sedekah buminadran and kliwonan marked peak times for their begging activities associated with poverty and ritualistic behaviors understanding street childrens communication behaviors and dynamics in this cultural context offers valuable insights for social interventions and support,25498959,1
1,"The objective of this research was to improve the ability of knowing the epitome of number through number order game of the B group chidren Kindergarten Pertiwi Bangkinang the kind of research was Classroom Action Research which done collaboratively between the researcher and the teacher. This research consisted of two cycles and each cycle done in two meetings. The subject of the research was 16 children 4-5 Kindergarten pertiwi Bangkinang which consisted of 5 males and 11 females. The object of the research is ability of knowing the epitome of number 1-10. Incollecting the data the researcher used observation and documentation. Instrument used was observation list and documentation. The data was analyzed descriptive quantitatively. The result showed that there was an improvement of ability of knowing the epitome of numbers after being taught by using number order game activity. The result of observation in Pre action showed that the children who have expected development criterian was 3 or 18,75%. In cycle I improved become 7 or 43,75% and in cycle II improved again become 13 or 81,25%. The steps reached that can improve the ability of knowing the epitome of number to the children was the teacher provided a media game that was number order and demonstrated how to play. So, in conclude that number order game activity can improve the ability of knowing the epitome of number of 4-5 children Kindergarten pertiwi Bangkinang.",Meningkatkan Kemampuan  Mengenal  Lambang Bilangan  Melalui  Permainan  Tata Angka pada Anak Usia Dini,2016-12-30,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,meningkatkan kemampuan  mengenal  lambang bilangan  melalui  permainan  tata angka pada anak usia dini the objective of this research was to improve the ability of knowing the epitome of number through number order game of the b group chidren kindergarten pertiwi bangkinang the kind of research was classroom action research which done collaboratively between the researcher and the teacher this research consisted of two cycles and each cycle done in two meetings the subject of the research was  children  kindergarten pertiwi bangkinang which consisted of  males and  females the object of the research is ability of knowing the epitome of number  incollecting the data the researcher used observation and documentation instrument used was observation list and documentation the data was analyzed descriptive quantitatively the result showed that there was an improvement of ability of knowing the epitome of numbers after being taught by using number order game activity the result of observation in pre action showed that the children who have expected development criterian was  or  in cycle i improved become  or  and in cycle ii improved again become  or the steps reached that can improve the ability of knowing the epitome of number to the children was the teacher provided a media game that was number order and demonstrated how to play so in conclude that number order game activity can improve the ability of knowing the epitome of number of  children kindergarten pertiwi bangkinang,25498959,1
