jid,desc,title,date,journal,data_cleaned,eissn,jid_umum
1,"Belakangan ini Lembaga PAUD berbondong-bondong memberikan pembelajaran bahasa inggris bagi anak diperiode linguistik. Penelitian ini bertujuan untuk mengetahui kemampuan awal anak dalam mendengarkan dan mengucapkan kosakata bahasa inggris pada periode linguistic. Penelitian ini merupakan penelitian deskriptif dengan menggunakan pendekatan kuantitatif. Populasi penelitian ini mencakup anak pada Taman Kanak-Kanak. Selanjutnya peneliti melakukan penarikan sampling dengan teknik sampling jenuh dengan jumlah 28 Anak. Penelitian ini dilakukan pada bulan September 2022 - Maret 2023 dengan bekerjasama dengan guru kelas. Kegiatan pengumpulan data penelitian ini dilakukan melalui observasi, dengan model partisipatif. Adapun deskripsi hasil penelitian ini dibagi menjadi dua yakni kemampuan mendengarkan kosakata bahasa inggris awal yakni dengan kategori Mulai Berkembang. Selanjutnya, kemampuan mengucapkan kosakata bahasa inggris awal berada pada kategori Mulai Berkembang. Lebih lanjut hasil penelitian ini dapat dijadikan sebagai pijakan dasar menentukan strategi apa yang akan dilakukan untuk melejitkan kemampuan awal bahasa inggris anak dalam periode linguistik",Kemampuan Bahasa Inggris Awal pada Periode Linguistik Anak Usia Dini,2023-10-05,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,Early English language skills in the linguistic period of early childhood lately early childhood education institutions have flocked to provide English language learning for children in the linguistic period this study aims to determine children's early ability to listen and pronounce English vocabulary in the linguistic period this study is a descriptive study using a quantitative approach the population of this study includes children in kindergarten then the researcher conducted a sampling with a saturated sampling technique with the number of children this study was conducted in September March in collaboration with class teachers the data collection activities of this study were carried out through observation with a participatory model the description of the results of this study is divided into two namely the ability to listen to early English vocabulary namely with the category starting to develop then the ability to pronounce early English vocabulary is in the category starting to develop further the results of this study can be used as a basic foothold to determine what strategy will be carried out to boost children's early English language skills in the linguistic period,25498959,1
1,"The assessment process carried out in schools is traditional assessments that focus on cognitive, affective, and psychomotor aspects. The review should be able to assess all factors, namely attitudes, skills, and knowledge. This paper aims to describe authentic assessment in early childhood learning. The results of this study are a description of the original as a process of evaluating early childhood learning outcomes. This research was conducted at RA Alhanafiyah, located in the sub-district of Kotaanyar Probolinggo. The research technique uses qualitative methods by collecting data through observation, interviews, and documentation. Interviews were conducted on elements in the school, starting with the principal, four educators, and two guardians. The results showed that the authentic assessment was carried out in three stages: first, checklist, anecdotal evaluation, and evaluation of the work. The implications obtained from accurate estimates are applied to institutions that provide increased achievement in different categories such as achievements in cognitive, motor, language, religious and moral values, art, and social-emotional by looking at children's unique abilities.",Strengthening Early Childhood Learning Outcomes through Authentic Assessment of Students,2022-06-09,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,strengthening early childhood learning outcomes through authentic assessment of students the assessment process carried out in schools is traditional assessments that focus on cognitive affective and psychomotor aspects the review should be able to assess all factors namely attitudes skills and knowledge this paper aims to describe authentic assessment in early childhood learning the results of this study are a description of the original as a process of evaluating early childhood learning outcomes this research was conducted at ra alhanafiyah located in the subdistrict of kotaanyar probolinggo the research technique uses qualitative methods by collecting data through observation interviews and documentation interviews were conducted on elements in the school starting with the principal four educators and two guardians the results showed that the authentic assessment was carried out in three stages first checklist anecdotal evaluation and evaluation of the work the implications obtained from accurate estimates are applied to institutions that provide increased achievement in Different categories such as achievements in cognitive motor language religion and moral values ​​art and social emotional by looking at children's unique abilities,25498959,1
1,"Kewajiban guru PAUD untuk memberikan layanan bimbingan dan konseling (BK) belum berjalan sebagaimana yang ditegaskan dalam Permendiknas Nomor 35 Tahun 2010. Tujuan penelitian adalah untuk mendeskripsikan realitas, kendala dan harapan guru tersebut terhadap layanan BK. Untuk mencapai tujuan ini, disain deksriptif dengan metode survey digunakan. Populasi penelitian adalah guru PAUD berjumlah 33 orang yang yang ditetapkan dengan teknik total sampling. Data dikumpulkan melalui angket dengan menggunakan aplikasi Google Form kemudian dianalisis secara deskriptif kuantitatif. Dari hasil penelitian diperoleh gambaran bahwa responden menyatakan: 1) siswa PAUD mengalami masalah yang membutuhkan penanganan khusus, 2) telah melaksanakan layanan BK, 3)  terkendala dengan kurangnya pengetahuan tentang layanan BK, sarana dan prasarana penunjang, keterampilan dalam menyusun studi kebutuhan, mengolah hasil dari instrumen, dan melaksanakan layanan BK, dan 4) mengharapkan peningkatan wawasan tentang BK, pelatihan terkait dengan pelaksanaan layanan BK, keterampilan dalam menyusun instrumen studi kebutuhan dan penyusunan program layanan BK.","Eksplorasi Deskriptif tentang Layanan Bimbingan dan Konseling di PAUD: Realitas, Kendala dan Harapan",2023-06-07,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,descriptive exploration of guidance and counseling services in early childhood education the reality of obstacles and expectations the obligation of early childhood education teachers to provide guidance and counseling services has not been implemented as stated in the Minister of Education and Culture Regulation No. 2018 the purpose of the study is to describe the reality of obstacles and expectations of these teachers towards guidance and counseling services to achieve this goal a descriptive design with a survey method was used the research population was early childhood education teachers totaling 100 people who were determined by the total sampling technique data was collected through a questionnaire using the Google Form application then analyzed descriptively quantitatively from the results of the study obtained a picture that respondents stated that early childhood education students experienced problems that required special handling had implemented guidance and counseling services constrained by a lack of knowledge about guidance and counseling services supporting facilities and infrastructure skills in compiling needs studies processing the results of instruments and implementing guidance and counseling services and expecting increased insight into guidance and counseling training related to the implementation of guidance and counseling services skills in compiling needs study instruments and compiling guidance and counseling service programs,25498959,1
1,"Pandemi Covid-19 merambah sejak awal tahun 2020, salah satunya memberikan dampak pada aspek pendidikan. Hal ini menyebabkan orang tua merasa khawatir dengan kemampuan anak-anaknya dalam mengikuti pelajaran dari sekolah, terutama dalam hal persiapan anak masuk ke jenjang Sekolah Dasar (SD). Sekolah akhirnya memutuskan untuk mengadakan les calistung. Penelitian ini bertujuan untuk mendeskripsikan mengenai perspektif orang tua terhadap pelaksanaan les calistung di masa pandemi covid-19 di TK Setia Rini Jetis Bantul Yogyakarta. Jenis penelitian ini adalah deskriptif kualitatif. Metode yang digunakan adalah studi kasus. Pengumpulan data dilaksanakan dengan wawancara mendalam dengan 10 orang tua siswa, observasi, dan dokumentasi. Hasil penelitian ini adalah orang tua setuju dan merasa senang karena guru dalam memberikan les calistung dengan situasi yang menyenangkan kepada anak sehingga anak juga merasa senang. Pencapaian perkembangan anak dalam calistung sejumlah 7 anak sudah mampu membaca, menulis dan berhitung sesuai dengan usianya. Guru juga memberikan pemahaman kepada orang tua tentang cara mengajarkan calistung yang sesuai dengan perkembangan usia anak untuk diterapkan orang tua di rumah",Perspektif Orang Tua terhadap Pelaksanaan Les Calistung di Masa Pandemi Covid-19,2021-06-02,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,"Parents' perspective on the implementation of reading, writing and arithmetic lessons during the Covid pandemic The Covid pandemic has spread since the beginning of the year, one of which has had an impact on the educational aspect. This has caused parents to worry about their children's ability to follow lessons from school, especially in terms of preparing children to enter elementary school. The school finally decided to hold reading, writing and arithmetic lessons. This study aims to describe the perspective of parents on the implementation of reading, writing and arithmetic lessons during the Covid pandemic at TK Setia Rini Jetis Bantul Yogyakarta. This type of research is descriptive qualitative. The method used is a case study. Data collection was carried out through in-depth interviews with parents of students. Observation and documentation. The results of this study are that parents agree and are happy because the teacher provides reading, writing and arithmetic lessons with a pleasant situation for children so that children also feel happy. The achievement of children's development in reading, writing and arithmetic. A number of children are already able to read, write and count according to their age. The teacher also provides parents with an understanding of how to teach reading, writing and arithmetic that is appropriate for the development of the child's age to be implemented by parents at home.",25498959,1
1,"Dalam upaya mencapai Sustainable Development Goals (SDGs) 2030, stunting masih menjadi masalah mendasar di Indonesia hingga saat ini. Hingga tahun 2022, kasus stunting pada anak masih cukup tinggi melampaui standart WHO. Penelitian ini bertujuan untuk menguji efektivitas pelatihan dalam meningkatkan pengetahuan dan keterampilan 150 guru PAUD agar dapat mengidentifikasi, mencegah dan menangani stunting. Metode kualitatif dan kuantitatif digunakan pada penelitian ini dengan desain pre-eksperimental. Teknik pengumpulan data yang dilakukan adalah kuesioner berupa pre-test dan post-test serta wawancara dengan Teknik analisis data tematik. Hasilnya, pelatihan ini efektif meningkatkan pengetahuan dan keterampilan guru dalam melakukan identifikasi, mengenali factor penyebab, pencegahan dan penanganan stunting. Selain itu juga terdapat pengaruh pelatihan terhadap peningkatan pengetahuan dan keterampilan guru PAUD terkait stunting pada anak. Rekomendasi selanjutnya agar pelatihan stunting ini diperluas sasarannya kepada lebih banyak guru PAUD, sehingga kemampuan dalam pencegahan dan penanganan stunting dapat dimiliki guru PAUD sekaligus membantu mempercepat penurunan kasus stunting (konvergensi stunting) di Indonesia.",Strategi Pencegahan dan Penanganan Stunting Multidimensi melalui Pelatihan Guru PAUD,2023-12-26,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,"multidimensional stunting prevention and handling strategy through early childhood education teacher training in an effort to achieve sustainable development goals sdgs stunting is still a fundamental problem in Indonesia until now until the year stunting cases in children are still quite high exceeding WHO standards this study aims to test the effectiveness of training in improving the knowledge and skills of early childhood education teachers in order to identify, prevent and handle stunting qualitative and quantitative methods were used in this study with a pre-experimental design the data collection technique used was a questionnaire in the form of a pretest and posttest and interviews with thematic data analysis techniques the results of this training are effective in increasing teacher knowledge and skills in identifying and recognizing the factors causing stunting prevention and handling in addition there is also an effect of training on increasing the knowledge and skills of early childhood education teachers related to stunting in children the next recommendation is that this stunting training be expanded to target more early childhood education teachers so that the ability to prevent and handle stunting can be possessed by early childhood education teachers while helping to accelerate the decline in stunting cases stunting convergence in Indonesia",25498959,1
1,"Semakin baru sebuah zaman maka akan semakin banyak tantangan dalam kehidupan sehingga menyebabkan anak harus dikenalkan berbagai kompetensi baru. Salah satu kemampuan yang dibutuhkan anak di era saat ini adalah kemampuan berpikir kritis dan pemecahan masalah. Pembelajaran tematik integratif memadukan dan mengintegrasikan beberapa aspek perkembangan dalam satu tema dengan tujuan memberikan pengalaman yang bermakna untuk anak. Akan tetapi kendala dalam implementasi tematik integratif masih ditemui di lapangan. Oleh karena itu, artikel ini bertujuan untuk memberikan gambaran mengenai strategi penyusunan kurikulum dengan pembelajaran tematik integratif di satuan PAUD. Pendekatan penelitian yang digunakan adalah kajian literature. Tujuh literature di analisis menggunakan pendekatan tematik. Hasil penelitian menunjukkan bahwa strategi penyusunan pembelajaran tema dilakukan dengan memperhatikan strategi pengembangan dan pemilihan tema, prinsip pemilihan tema, dan kegiatan dalam penjabaran tema. Implikasi hasil penelitian ini dapat digunakan sebagai referensi bagi guru ketika akan menentukan tema pembelajaran dan penyusunan kurikulum.",Strategi Pendekatan Kurikulum Pendidikan Anak Usia Dini dengan Pembelajaran Tematik Integratif,2023-02-08,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,"Early childhood education curriculum approach strategy with integrative thematic learning the newer an era, the more challenges there will be in life so that children must be introduced to various new competencies one of the abilities needed by children in the current era is the ability to think critically and solve problems integrative thematic learning combines and integrates several aspects of development in one theme with the aim of providing meaningful experiences for children however obstacles in the implementation of integrative thematic are still encountered in the field therefore this article aims to provide an overview of the curriculum development strategy with integrative thematic learning in early childhood education units the research approach used is a literature review seven literatures were analyzed using a thematic approach the results of the study showed that the strategy for compiling theme learning was carried out by paying attention to the strategy for developing and selecting themes the principles of selecting themes and activities in the elaboration of themes the implications of the results of this study can be used as a reference for teachers when determining learning themes and compiling curriculum",25498959,1
1,"Salah satu kompetensi yang harus dimiliki Guru adalah kompetensi pedagogik. Selain pedagogik, guru juga diharuskan memiliki kreativitas, karena dapat mempengaruhi kompetensi pedagogik. Model pembelajaran sentra yang berpusat pada anak dan guru sebagai fasilitator berbantuan media Looseparts, yaitu Bahan alam, plastic, logam, kayu dan bambu, benang dan kain, kaca dan keramik dan bekas kemasan, dapat merangsang kreativitas guru. Tujuan penelitian ini, untuk mengetahui perbedaan efektifitas penggunaan media Looseparts dalam meningkatkan kreativitas dan kompetensi pedagogik Guru. Penelitian ini merupakan penelitian eksperimen dengan pretest dan posttest control group design. Populasi dalam penelitian ini adalah Guru TK B Kecamatan Ngaliyan Kota Semarang dengan sampel 51 guru sebagai responden yang terbagi dalam dua kelompok dan dipilih melalui random sampling. Hasil penelitian menunjukkan, terdapat adanya peningkatan kreativitas dan kompetensi pedagogik menggunakan media Looseparts sesuai threatment yang dilakukan dengan rerata skor 83,04 kelompok pertama, dan 79,12 perlakuan kelompok kedua. Berdasarkan hal tersebut, diketahui bahwasanya model pembelajaran sentra berbantuan media Looseparts efektif digunakan untuk meningkatkan kreativitas dan kompetensi pedagogik Guru TK",Pembelajaran Sentra Media Looseparts Meningkatkan Kreativitas dan Kompetensi Pedagogik Guru TK,2022-06-10,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,"looseparts media center learning improves creativity and pedagogical competence of kindergarten teachers one of the competencies that teachers must have is pedagogical competence in addition to pedagogy teachers are also required to have creativity because it can affect pedagogical competence the child-centered center learning model and teachers as facilitators assisted by looseparts media, namely natural materials such as plastic, metal, wood and bamboo, thread and cloth, glass and ceramics and used packaging can stimulate teacher creativity the purpose of this study was to determine the difference in the effectiveness of using looseparts media in improving creativity and pedagogical competence of teachers this study is an experimental study with pretest and posttest control group design the population in this study were kindergarten B teachers in Ngaliyan District, Semarang City with teacher samples as respondents who were divided into two groups and selected through random sampling the results of the study showed that there was an increase in creativity and pedagogical competence using looseparts media according to the treatment carried out with the average score of the first group and the treatment of the second group based on this it is known that the looseparts media-assisted center learning model is effective for improving creativity and pedagogical competence of kindergarten teachers",25498959,1
1,"Guncangan dahsyat Covid 19, telah menginfeksi setidaknya 6 juta orang di dunia dan hampir 400.000 orang diantaranya meninggal dunia. Akibatnya kehidupan manusia di berbagai sektor terguncang hebat, termasuk sektor pendidikan. Pembelajaran daring disemua jenjang pendidikan tak terkecuali PAUD, adalah solusi terbaik saat ini. Kepala sekolah perlu melakukan langkah strategis agar proses pendidikan PAUD tetap berjalan dan kualitas tetap terjaga. Tujuan penelitian ini adalah mendeksripsikan bagaimana strategi kepala sekolah dalam meningkatkan mutu pendidikan taman kanak-kanak pada masa pandemi Covid 19 di Kota Cimahi. Penelitian ini menggunakan pendekatan kuantitatif dengan metode deskriptif survei. Subjek penelitian adalah 112 Kepala TK di Kota Cimahi. Hasil penelitian menunjukan, strategi kepemimpinan kepala sekolah dalam meningkatkan mutu pendidikan TK pada masa pandemi Covid 19 sangat baik (85,90%). Process Approach (88,24%) merupakan skor teringgi, menunjukan pendekatan proses menjadi prioritas utama dilakukan. Sedangkan tanggung jawab (81,21%) merupakan skor terendah, menunjukan belum optimalnnya pelaksanaan kepemimpinan kepala sekolah masa pandemi covid 19.",Strategi Kepala TK dalam Meningkatkan Mutu Pendidikan pada Masa Pandemi Covid 19,2020-07-11,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,kindergarten principal strategy in improving the quality of education during the covid pandemic the terrible shock of covid has infected at least million people in the world and almost all of them have died as a result of which human life in various sectors has been shaken greatly including the education sector online learning at all levels of education including early childhood education is the best solution at this time the principal needs to take strategic steps so that the early childhood education process continues and the quality is maintained the purpose of this study is to describe how the principal's strategy in improving the quality of kindergarten education during the covid pandemic in the city of cimahi this study uses a quantitative approach with a descriptive survey method the research subjects are kindergarten principals in the city of cimahi the results of the study show that the principal's leadership strategy in improving the quality of kindergarten education during the covid pandemic is very good the process approach is the highest score indicating that the process approach is the main priority while responsibility is the lowest score indicating that the implementation of the principal's leadership during the covid pandemic is not optimal,25498959,1
1,"In Indonesia, unfortunate children facing dire circumstances, including victims of war, forced labor, child abuse, and human trafficking, are prevalent. Among them, street kids endure rapid growth due to various factors, living in abusive environments and spending approximately eight hours daily wandering the streets. This study aimed to explore the uniqueness of street children near the tombs of Islamic saints (Wali), where they descend to interact with pilgrims during religious events, seeking alms. Employing a phenomenological approach. Data Collection was by interview, field observation together with ethnographic techniques on street children’s motivations for begging and their communication behaviors in capturing pilgrims’ attention. Findings revealed that economic reasons and peer influence were primary motives for the children’s street presence. Additionally, sacred events like Muludan, Malam Pelal, Syawalan, Serenan, Sedekah Bumi/Nadran, and Kliwonan marked peak times for their begging activities, associated with poverty and ritualistic behaviors. Understanding street children’s communication behaviors and dynamics in this cultural context offers valuable insights for social interventions and support.",The Behavior of Street Children within a  Cultural Context: A Study on the Communication Life of Street Children within a Typical Indonesian Society,2023-09-03,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,the behavior of street children within a cultural context a study on the communication life of street children within a typical Indonesian society in Indonesia unfortunate children facing dire circumstances including victims of war forced labor child abuse and human trafficking are prevalent among their street children endure rapid growth due to various factors living in abusive environments and spending approximately eight hours daily wandering the streets this study aimed to explore the uniqueness of street children near the tombs of Islamic saints wali where they descend to interact with pilgrims during religious events seeking alms employing a phenomenological approach data collection was by interview field observation together with ethnographic techniques on street children's motivations for begging and their communication behaviors in capturing pilgrims' attention findings revealed that economic reasons and peer influence were primary motives for the street children's presence additionally sacred events like muludan Malam Pelal Syawalan Serenan sedekah buminadran and kliwonan marked peak times for their begging activities associated with poverty and ritualistic behaviors understanding street children's communication behaviors and dynamics in this cultural context offers valuable insights for social interventions and support,25498959,1
1,"The objective of this research was to improve the ability of knowing the epitome of number through number order game of the B group chidren Kindergarten Pertiwi Bangkinang the kind of research was Classroom Action Research which done collaboratively between the researcher and the teacher. This research consisted of two cycles and each cycle done in two meetings. The subject of the research was 16 children 4-5 Kindergarten pertiwi Bangkinang which consisted of 5 males and 11 females. The object of the research is ability of knowing the epitome of number 1-10. Incollecting the data the researcher used observation and documentation. Instrument used was observation list and documentation. The data was analyzed descriptive quantitatively. The result showed that there was an improvement of ability of knowing the epitome of numbers after being taught by using number order game activity. The result of observation in Pre action showed that the children who have expected development criterian was 3 or 18,75%. In cycle I improved become 7 or 43,75% and in cycle II improved again become 13 or 81,25%. The steps reached that can improve the ability of knowing the epitome of number to the children was the teacher provided a media game that was number order and demonstrated how to play. So, in conclude that number order game activity can improve the ability of knowing the epitome of number of 4-5 children Kindergarten pertiwi Bangkinang.",Meningkatkan Kemampuan  Mengenal  Lambang Bilangan  Melalui  Permainan  Tata Angka pada Anak Usia Dini,2016-12-30,JURNAL OBSESI: JURNAL PENDIDIKAN ANAK USIA DINI,improving the ability to recognize number symbols through number order games in early childhood the objective of this research was to improve the ability of knowing the epitome of number through number order game of the b group chidren kindergarten pertiwi bangkinang done collaboratively between the researcher and the teacher this research consisted of two cycles and each cycle was done in two meetings the subject of the research was children kindergarten pertiwi bangkinang which consisted of males and females the object of the research is the ability of knowing the epitome of number incollecting the data the researcher used observation and documentation instrument used was observation list and documentation the data was analyzed descriptive quantitatively the result showed that there was an improvement of ability of knowing the epitome of numbers after being taught by using number order game activity the result of observation in pre action showed that the children who had expected development criteria were or in cycle i improved became or and in cycle ii improved again became or the steps reached that could improve the ability of knowing the epitome of number to the children was the teacher provided a media game that was number ordered and demonstrated how to play so in concluding that number order game activity can improve the ability of knowing the epitome of number of children kindergarten pertiwi bangkinang,25498959,1
